OTU_ID	domain	domain_conf	phylum	phylum_conf	class	class_conf	order	order_conf	family	family_conf	genus	genus_conf	species	species_conf	blast_query	blast_strain	blast_16s_completeness	blast_percent_identity	blast_alignment_length	ncbi_avglinkage_otu_id	num_of_sp_in_cluster	num_of_sp_in_db	num_of_otus_with_same_sp
OTU_1218	Bacteria	1	Bacteroidetes	0.964	Cytophagia	0.895	Cytophagales	0.6992	Cytophagaceae	0.5242	Fibrella	0.1664	Fibrella_aestuarina	0.0241	d:Bacteria,p:Firmicutes,c:Negativicutes,o:Veillonellales,f:Veillonellaceae,g:Megasphaera,s:Megasphaera_cerevisiae	VTT-E-85230_16S	yes	94.7	38	3997	1	2	1
OTU_1219	Bacteria	1	Bacteroidetes	0.9993	Chitinophagia	0.9989	Chitinophagales	0.994	Chitinophagaceae	0.9956	Segetibacter	0.7349	Segetibacter_aerophilus	0.1169	d:Bacteria,p:Bacteroidetes,c:Chitinophagia,o:Chitinophagales,f:Chitinophagaceae,g:Flavitalea,s:Flavitalea_gansuensis	JCN-23_16S	no	91.3	1437	4862	1	2	1
OTU_122	Bacteria	1	Proteobacteria	0.964	Alphaproteobacteria	0.9287	Rhizobiales	0.8643	Rhizobiaceae	0.8437	Rhizobium	0.6878	Rhizobium_tropici	0.3997	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Rhizobium,s:Rhizobium_mesoamericanum	CCGE_501	no	97.7	1350	343	31	6	1
OTU_1221	Bacteria	0.5955	Planctomycetes	0.4625	Phycisphaerae	0.057	Phycisphaerales	0.0366	Phycisphaeraceae	0.0081	Algisphaera	8e-4	Algisphaera_agarilytica	0	NA	NA	NA	NA	NA	5855	1	1	1
OTU_1222	Bacteria	1	Actinobacteria	0.964	Actinobacteria	0.9287	Propionibacteriales	0.6992	Nocardioidaceae	0.3638	Friedmanniella	0.1355	Friedmanniella_lucida	0.0141	d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Propionibacteriales,f:Propionibacteriaceae,g:Luteococcus,s:Luteococcus_peritonei	216_16S	no	92.5	1353	842	4	1	1
OTU_1223	Bacteria	0.1458	Proteobacteria	0.0989	Alphaproteobacteria	0.0141	Rickettsiales	0.0078	Rickettsiaceae	8e-4	Orientia	1e-4	Orientia_tsutsugamushi	0	NA	NA	NA	NA	NA	188	2	3	1
OTU_1224	Bacteria	1	Actinobacteria	0.999	Actinobacteria	0.9933	Pseudonocardiales	0.9371	Pseudonocardiaceae	0.9432	Actinomycetospora	0.8763	Actinomycetospora_succinea	0.1169	d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Corynebacteriales,f:Nocardiaceae,g:Nocardia,s:Nocardia_wallacei	ATCC_49873	no	91	1401	3067	11	1	1
OTU_1225	Bacteria	1	Firmicutes	0.9763	Clostridia	0.949	Clostridiales	0.9152	unsure_Terrabacteria_group	0.3638	Flavonifractor	0.1355	Flavonifractor_plautii	0.0141	NA	NA	NA	NA	NA	39	2	2	1
OTU_1226	Bacteria	0.5509	Firmicutes	0.3295	Clostridia	0.0448	Clostridiales	0.0249	Peptococcaceae	0.0026	Cryptanaerobacter	5e-4	Cryptanaerobacter_phenolicus	0	NA	NA	NA	NA	NA	104	1	1	1
OTU_1227	Bacteria	1	Firmicutes	0.9866	Clostridia	0.9883	Clostridiales	0.981	Lachnospiraceae	0.9774	Oribacterium	0.9796	Oribacterium_asaccharolyticum	0.2112	d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus,s:Lactobacillus_kefiranofaciens	JCM_8572	no	91.9	37	5904	1	1	1
OTU_1228	Bacteria	1	Actinobacteria	0.9992	Actinobacteria	0.9883	Nakamurellales	0.8313	Nakamurellaceae	0.8238	Nakamurella	0.7821	Nakamurella_panacisegetis	0.0541	d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Corynebacteriales,f:Nocardiaceae,g:Nocardia,s:Nocardia_farcinica	ATCC_3318	no	90.5	1385	3402	2	1	1
OTU_1229	Bacteria	1	Bacteroidetes	0.93	Chitinophagia	0.6481	Chitinophagales	0.3049	Chitinophagaceae	0.1537	Chitinophaga	0.0032	Chitinophaga_filiformis	0	NA	NA	NA	NA	NA	1463	3	2	1
OTU_123	Bacteria	1	Actinobacteria	0.9988	Actinobacteria	0.9992	Micrococcales	0.98740000000000006	Microbacteriaceae	0.9774	Microbacterium	0.9235	Microbacterium_flavescens	0.3055	d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Promicromonosporaceae,g:Isoptericola,s:Isoptericola_halotolerans	YIM_70177	no	91.7	891	412	40	2	1
OTU_1232	Bacteria	1	Proteobacteria	0.9743	Alphaproteobacteria	0.949	Sphingomonadales	0.8313	Erythrobacteraceae	0.4449	Altererythrobacter	0.1664	Altererythrobacter_troitsensis	0.0241	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Erythrobacteraceae,g:Erythrobacter,s:Erythrobacter_gangjinensis	K7-2_16S	no	92.8	1397	4214	3	1	1
OTU_1234	Bacteria	1	Actinobacteria	0.956	Actinobacteria	0.9152	Propionibacteriales	0.6662	Propionibacteriaceae	0.3638	Microlunatus	0.1355	Microlunatus_phosphovorus	0.0141	d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Corynebacteriales,f:Nocardiaceae,g:Nocardia,s:Nocardia_vermiculata	IFM_0391	no	100	30	665	2	3	1
OTU_1235	Bacteria	1	Bacteroidetes	0.9993	Cytophagia	0.9988	Cytophagales	0.9937	Cytophagaceae	0.9432	Spirosoma	0.8292	Spirosoma_linguale	0.0641	d:Bacteria,p:Firmicutes,c:Negativicutes,o:Veillonellales,f:Veillonellaceae,g:Megasphaera,s:Megasphaera_cerevisiae	VTT-E-85230_16S	yes	94.6	37	3000	1	2	1
OTU_1236	Bacteria	1	Bacteroidetes	0.999	Cytophagia	0.9987	Cytophagales	0.9937	Cytophagaceae	0.8437	Spirosoma	0.5302	Spirosoma_rigui	0.0092	d:Bacteria,p:Firmicutes,c:Negativicutes,o:Veillonellales,f:Veillonellaceae,g:Megasphaera,s:Megasphaera_cerevisiae	VTT-E-85230_16S	yes	94.6	37	3556	1	2	1
OTU_1237	Bacteria	1	Bacteroidetes	0.999	Sphingobacteriia	0.9943	Sphingobacteriales	0.9924	Sphingobacteriaceae	0.9901	Mucilaginibacter	0.9531	Mucilaginibacter_jinjuensis	0.7194	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTU_1238	Bacteria	1	Proteobacteria	0.9886	Deltaproteobacteria	0.9828	Myxococcales	0.9481	Labilitrichaceae	0.7151	Labilithrix	0.6407	Labilithrix_luteola	0.3997	d:Bacteria,p:Firmicutes,c:Tissierellia,o:Tissierellales,f:Peptoniphilaceae,g:Peptoniphilus,s:Peptoniphilus_indolicus	CCUG_46591	no	100	27	5986	1	1	1
OTU_1239	Bacteria	1	Bacteroidetes	0.9992	Sphingobacteriia	0.9903	Sphingobacteriales	0.9858	Sphingobacteriaceae	0.9842	Pedobacter	0.6878	Pedobacter_suwonensis	0.0541	d:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Pedobacter,s:Pedobacter_alluvionis	NWER-II11_16S	no	97.5	1380	2154	5	1	1
OTU_124	Bacteria	1	Proteobacteria	0.9681	Alphaproteobacteria	0.9355	Sphingomonadales	0.8313	Sphingomonadaceae	0.6387	Sphingomonas	0.3483	Sphingomonas_formosensis	0.0241	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sandaracinobacter,s:Sandaracinobacter_sibiricus	RB16-17_16S	no	92.3	1402	5539	1	1	1
OTU_1240	Bacteria	1	Acidobacteria	0.9743	Blastocatellia	0.9287	unsure_Blastocatellales	0.8643	unsure_Blastocatellaceae	0.8437	Blastocatella	0.8292	Blastocatella_fastidiosa	0.8396	d:Bacteria,p:Acidobacteria,c:Blastocatellia,o:unsure_Blastocatellales,f:unsure_Blastocatellaceae,g:Blastocatella,s:Blastocatella_fastidiosa	A2-16_16S	no	94.3	1445	5640	1	1	1
OTU_1241	Bacteria	1	Bacteroidetes	0.9784	Chitinophagia	0.7453	Chitinophagales	0.4666	Chitinophagaceae	0.2826	Chitinophaga	0.0079	Chitinophaga_japonensis	1e-4	NA	NA	NA	NA	NA	1418	1	2	1
OTU_1242	Bacteria	1	Proteobacteria	0.9319	Alphaproteobacteria	0.8613	Caulobacterales	0.5655	Caulobacteraceae	0.4855	Caulobacter	0.114	Caulobacter_henricii	0.0076	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Brevundimonas,s:Brevundimonas_bacteroides	ATCC_15254	no	92.7	1237	1066	5	2	1
OTU_1243	Bacteria	1	Planctomycetes	0.952	Planctomycetia	0.9085	Planctomycetales	0.7653	Gemmataceae	0.1298	Zavarzinella	0.0024	Zavarzinella_formosa	0	d:Bacteria,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,g:Rubinisphaera,s:Rubinisphaera_brasiliensis	DSM_5305	no	90.9	33	3023	1	1	1
OTU_1244	Bacteria	1	Proteobacteria	0.9845	Gammaproteobacteria	0.9828	Xanthomonadales	0.97	Rhodanobacteraceae	0.8835	Dokdonella	0.9235	Dokdonella_ginsengisoli	0.2112	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Rhodanobacteraceae,g:Dokdonella,s:Dokdonella_kunshanensis	DC-3_16S	no	96.6	1461	2614	4	1	1
OTU_1245	Bacteria	1	Proteobacteria	0.9866	Alphaproteobacteria	0.9828	Rickettsiales	0.9481	Candidatus_Midichloriaceae	0.9631	Candidatus_Midichloria	0.973	Candidatus_Midichloria	0.9575	d:Bacteria,p:Proteobacteria,c:Epsilonproteobacteria,o:unsure_unclassified_Epsilonproteobacteria,f:unclassified,g:Sulfurovum,s:Sulfurovum_lithotrophicum	42BKT_16S	no	100	43	3846	1	1	1
OTU_1246	Bacteria	1	Firmicutes	0.9989	Bacilli	0.9987	Lactobacillales	0.9858	Carnobacteriaceae	0.9774	Carnobacterium	0.9663	Carnobacterium_divergens	0.9438	d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Carnobacteriaceae,g:Marinilactibacillus,s:Marinilactibacillus_piezotolerans	LT20_16S	no	93.1	1295	4059	2	3	2
OTU_1247	Bacteria	1	Firmicutes	0.9979	Clostridia	0.9943	Clostridiales	0.9924	Ruminococcaceae	0.9842	Faecalibacterium	0.8292	Faecalibacterium_prausnitzii	0.8396	d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Streptomycetales,f:Streptomycetaceae,g:Streptomyces,s:Streptomyces_corchorusii	CSSP669_16S	no	96.7	30	1610	1	1	1
OTU_1248	Bacteria	1	Proteobacteria	0.929	Alphaproteobacteria	0.721	Rhizobiales	0.3906	Beijerinckiaceae	0.1298	Beijerinckia	0.0157	Beijerinckia_derxii	6e-4	NA	NA	NA	NA	NA	2921	3	3	2
OTU_1249	Bacteria	1	Bacteroidetes	0.9994	Cytophagia	0.9988	Cytophagales	0.9937	Hymenobacteraceae	0.9631	Hymenobacter	0.9597	Hymenobacter_metalli	0.0241	NA	NA	NA	NA	NA	4367	1	1	1
OTU_1250	Bacteria	1	Armatimonadetes	0.9977	Fimbriimonadia	0.9943	Fimbriimonadales	0.9924	Fimbriimonadaceae	0.9901	Fimbriimonas	0.9911	Fimbriimonas_ginsengisoli	0.9731	NA	NA	NA	NA	NA	4620	1	2	1
OTU_1252	Bacteria	1	Bacteroidetes	0.9983	Chitinophagia	0.9422	Chitinophagales	0.9043	Chitinophagaceae	0.8835	Segetibacter	0.1355	Segetibacter_aerophilus	0.0059	d:Bacteria,p:Bacteroidetes,c:Chitinophagia,o:Chitinophagales,f:Chitinophagaceae,g:Flavitalea,s:Flavitalea_gansuensis	JCN-23_16S	no	91.4	1437	4862	1	2	1
OTU_1253	Bacteria	1	Proteobacteria	0.929	Alphaproteobacteria	0.721	Rhizobiales	0.3906	Beijerinckiaceae	0.1059	Beijerinckia	0.0118	Beijerinckia_doebereinerae	6e-4	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Rickettsiaceae,g:Rickettsia,s:Rickettsia_bellii	369L42-1_16S	yes	93.4	106	4660	2	1	1
OTU_1254	Bacteria	1	Proteobacteria	0.93	Gammaproteobacteria	0.7696	Legionellales	0.3906	Legionellaceae	0.2014	Legionella	0.0118	Legionella_impletisoli	3e-4	NA	NA	NA	NA	NA	2594	2	1	1
OTU_1255	Bacteria	1	Proteobacteria	0.9324	Alphaproteobacteria	0.868	Rhodospirillales	0.3478	Acetobacteraceae	0.1775	Gluconacetobacter	0.0157	Gluconacetobacter_entanii	9e-4	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Komagataeibacter,s:Komagataeibacter_swingsii	DST_GL01	no	90.5	1414	387	14	1	1
OTU_1256	Bacteria	1	Proteobacteria	0.9309	Alphaproteobacteria	0.8182	Rhizobiales	0.526	Rhizobiaceae	0.3638	Ensifer	0.114	Ensifer_adhaerens	0.0092	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Rhizobium,s:Rhizobium_taibaishanense	CCNWSX_0483	no	93.6	1326	357	15	4	1
OTU_1258	Bacteria	1	Armatimonadetes	0.9094	Chthonomonadetes	0.4205	Chthonomonadales	0.1897	Chthonomonadaceae	0.082	Chthonomonas	0.0079	Chthonomonas_calidirosea	3e-4	d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Anoxybacillus,s:Anoxybacillus_flavithermus	DSM_2641	no	91.9	37	4048	1	2	1
OTU_1259	Bacteria	1	Proteobacteria	0.93	Alphaproteobacteria	0.7696	Rhizobiales	0.4666	Beijerinckiaceae	0.1537	Beijerinckia	0.0197	Beijerinckia_mobilis	9e-4	NA	NA	NA	NA	NA	2921	3	2	1
OTU_126	Bacteria	1	Firmicutes	0.9981	Clostridia	0.9973	Clostridiales	0.9938	Peptostreptococcaceae	0.9898	Terrisporobacter	0.7821	Terrisporobacter_mayombei	0.3997	d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Actinopolysporales,f:Actinopolysporaceae,g:Actinopolyspora,s:Actinopolyspora_righensis	H23_16S	no	94.9	39	4125	2	1	1
OTU_1261	Bacteria	1	Proteobacteria	0.9314	Alphaproteobacteria	0.8182	Rickettsiales	0.4864	Anaplasmataceae	0.3232	Anaplasma	0.0118	Anaplasma_phagocytophilum	3e-4	NA	NA	NA	NA	NA	3705	2	2	1
OTU_1262	Bacteria	1	Proteobacteria	0.9968	Betaproteobacteria	0.9933	Burkholderiales	0.9907	Burkholderiaceae	0.9819	Lautropia	0.9876	Lautropia_mirabilis	0.969	d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Caldimonas,s:Caldimonas_taiwanensis	On1_16S	no	91.8	1441	4180	1	1	1
OTU_1263	Bacteria	1	Proteobacteria	0.956	Gammaproteobacteria	0.9085	Legionellales	0.6051	Legionellaceae	0.5624	Legionella	0.0926	Legionella_tunisiensis	0.0059	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,s:Legionella_steelei	IMVS-3376_16S	no	92.5	1362	375	2	1	1
OTU_1266	Bacteria	1	Firmicutes	0.956	Clostridia	0.9085	Clostridiales	0.7653	Ruminococcaceae	0.6006	Ruminococcus	0.2271	Ruminococcus_albus	0.0076	NA	NA	NA	NA	NA	246	1	4	1
OTU_1267	Bacteria	1	Proteobacteria	0.9927	Alphaproteobacteria	0.9913	Rhodospirillales	0.97	Rhodospirillaceae	0.9631	Azospirillum	0.9597	Azospirillum_doebereinerae	0.2112	d:Bacteria,p:Proteobacteria,c:Acidithiobacillia,o:Acidithiobacillales,f:Acidithiobacillaceae,g:Acidithiobacillus,s:Acidithiobacillus_ferrooxidans	ATCC_23270	no	100	27	1082	4	1	1
OTU_1268	Bacteria	1	Bacteroidetes	0.9992	Cytophagia	0.9989	Cytophagales	0.9944	Cytophagaceae	0.9774	Dyadobacter	0.9796	Dyadobacter_koreensis	0.0541	d:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Dyadobacter,s:Dyadobacter_alkalitolerans	12116_16S	no	95.9	1358	2941	2	2	1
OTU_1269	Bacteria	1	Firmicutes	0.9804	Tissierellia	0.949	Tissierellales	0.9152	Peptoniphilaceae	0.9034	Anaerococcus	0.9235	Anaerococcus_octavius	0.0141	d:Bacteria,p:Firmicutes,c:Tissierellia,o:Tissierellales,f:Peptoniphilaceae,g:Anaerococcus,s:Anaerococcus_octavius	NCTC_9810	no	95.3	1408	538	1	1	1
OTU_127	Bacteria	1	Proteobacteria	0.9825	Alphaproteobacteria	0.976	Sphingomonadales	0.9262	Sphingomonadaceae	0.6387	Novosphingobium	0.5302	Novosphingobium_soli	0.0541	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Novosphingobium,s:Novosphingobium_barchaimii	LL02_16S	no	97.2	1374	1021	9	1	1
OTU_1270	Bacteria	1	Bacteroidetes	0.999	Bacteroidia	0.9991	Bacteroidales	0.9965	Rikenellaceae	0.9901	Alistipes	0.9897	Alistipes_finegoldii	0.7194	NA	NA	NA	NA	NA	2087	1	4	1
OTU_1271	Bacteria	1	Firmicutes	0.9314	Clostridia	0.7939	Clostridiales	0.4864	Ruminococcaceae	0.242	Anaerotruncus	0.0079	Anaerotruncus_colihominis	3e-4	d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Coprococcus,s:Coprococcus_catus	VPI-C6-61_16S	no	100	30	1285	1	1	1
OTU_1273	Bacteria	0.217	Cyanobacteria	0.1631	Gloeobacteria	0.0229	Gloeobacterales	0.0126	Gloeobacteraceae	0.0013	Gloeobacter	2e-4	Gloeobacter_violaceus	0	NA	NA	NA	NA	NA	3803	2	1	1
OTU_1274	Bacteria	1	Proteobacteria	0.9977	Alphaproteobacteria	0.9943	Rhodospirillales	0.9891	Rhodospirillaceae	0.9797	Skermanella	0.973	Skermanella_aerolata	0.7194	d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Syntrophomonadaceae,g:Thermosyntropha,s:Thermosyntropha_lipolytica	JW265_16S	no	96.6	29	3460	2	1	1
OTU_1275	Bacteria	1	Firmicutes	0.9983	Bacilli	0.9963	Bacillales	0.981	Bacillaceae	0.9751	Bacillus	0.973	Bacillus_flexus	0.494	d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,s:Bacillus_krulwichiae	NBRC_102362	no	91.6	1411	703	5	3	1
OTU_1276	Bacteria	1	Firmicutes	0.9968	Clostridia	0.9933	Clostridiales	0.9907	Clostridiaceae	0.7533	Clostridium	0.6878	Clostridium_baratii	0.494	NA	NA	NA	NA	NA	698	6	1	1
OTU_1277	Bacteria	1	Firmicutes	0.999	Clostridia	0.9991	Clostridiales	0.9965	Ruminococcaceae	0.9901	Gemmiger	0.4696	Gemmiger_formicilis	0.1169	NA	NA	NA	NA	NA	1633	2	1	1
OTU_1278	Bacteria	1	Firmicutes	0.9324	Clostridia	0.868	Clostridiales	0.5853	Oscillospiraceae	0.1298	Oscillibacter	0.0157	Oscillibacter_valericigenes	9e-4	NA	NA	NA	NA	NA	2597	1	2	1
OTU_1279	Bacteria	1	Proteobacteria	0.9825	Gammaproteobacteria	0.976	Pseudomonadales	0.9262	Pseudomonadaceae	0.9233	Pseudomonas	0.6878	Pseudomonas_azotoformans	0.0441	NA	NA	NA	NA	NA	661	57	2	1
OTU_128	Bacteria	1	Proteobacteria	0.952	Betaproteobacteria	0.9085	Burkholderiales	0.7653	Oxalobacteraceae	0.7533	Massilia	0.5908	Massilia_namucuonensis	0.3055	d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Massilia,s:Massilia_lutea	101_16S	no	95.9	1439	5610	1	1	1
OTU_1280	Bacteria	1	Bacteroidetes	0.9994	Sphingobacteriia	0.9693	Sphingobacteriales	0.9481	Sphingobacteriaceae	0.9631	Pedobacter	0.6878	Pedobacter_duraquae	0.0241	d:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Pedobacter,s:Pedobacter_alluvionis	NWER-II11_16S	no	94.6	1317	1620	9	1	1
OTU_1282	Bacteria	1	Proteobacteria	0.9927	Alphaproteobacteria	0.9913	Rhizobiales	0.981	Methylobacteriaceae	0.9233	Methylobacterium	0.9531	Methylobacterium_aquaticum	0.1169	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,s:Methylobacterium_extorquens	TK_0001	yes	94.9	1418	4	4	2	1
OTU_1284	Bacteria	1	Firmicutes	0.8973	Tissierellia	0.4205	Tissierellales	0.1367	Peptoniphilaceae	0.0571	Finegoldia	0.0032	Finegoldia_magna	0	NA	NA	NA	NA	NA	2845	1	4	1
OTU_1285	Bacteria	1	Firmicutes	0.9094	Erysipelotrichia	0.6724	Erysipelotrichales	0.3478	Erysipelotrichaceae	0.1775	Solobacterium	0.0118	Solobacterium_moorei	6e-4	d:Bacteria,p:Chloroflexi,c:Ktedonobacteria,o:Ktedonobacterales,f:Ktedonobacteraceae,g:Ktedonobacter,s:Ktedonobacter_racemifer	DSM_44963	no	95.1	41	1891	1	3	1
OTU_1286	Bacteria	1	Firmicutes	0.8285	Clostridia	0.2594	Clostridiales	0.1367	Lachnospiraceae	0.0462	Syntrophococcus	0.0032	Syntrophococcus_sucromutans	0	NA	NA	NA	NA	NA	4609	2	3	2
OTU_1287	Bacteria	0.8849	Firmicutes	0.7952	Clostridia	0.0935	Clostridiales	0.0717	Ruminococcaceae	0.021	Ruminiclostridium	0.0017	Clostridium_alkalicellulosi	0	d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Bulleidia,s:Bulleidia_extructa	W1219_16S	no	90.2	41	5021	1	1	1
OTU_1288	Bacteria	1	Firmicutes	0.9906	Clostridia	0.9903	Clostridiales	0.9858	Clostridiaceae	0.9797	Clostridium	0.973	Clostridium_cylindrosporum	0.9575	NA	NA	NA	NA	NA	628	1	1	1
OTU_1289	Bacteria	1	Actinobacteria	0.9992	Actinobacteria	0.9893	Corynebacteriales	0.8643	Corynebacteriaceae	0.7915	Corynebacterium	0.7349	Corynebacterium_suicordis	0.0441	NA	NA	NA	NA	NA	2913	1	1	1
OTU_129	Bacteria	1	Proteobacteria	0.9743	Alphaproteobacteria	0.949	Rhizobiales	0.8933	Methylocystaceae	0.8238	Albibacter	0.3483	Albibacter_methylovorans	0.0541	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Rhizobium,s:Rhizobium_jaguaris	CCGE525_16S	no	91.8	1360	4126	1	2	1
OTU_1290	Bacteria	1	Tenericutes	0.9825	Mollicutes	0.976	Mycoplasmatales	0.5655	Mycoplasmataceae	0.4855	Ureaplasma	0.0197	Ureaplasma_parvum	3e-4	d:Bacteria,p:Tenericutes,c:Mollicutes,o:Mycoplasmatales,f:Mycoplasmataceae,g:Ureaplasma,s:Ureaplasma_gallorale	D6-1_16S	no	90.8	1440	1271	2	3	1
OTU_1291	Bacteria	1	Actinobacteria	0.9981	Actinobacteria	0.9953	Actinomycetales	0.9481	Actinomycetaceae	0.9631	Actinomyces	0.973	Actinomyces_urogenitalis	0.3997	d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Actinomycetaceae,g:Actinomyces,s:Actinomyces_slackii	NCTC_11923	yes	97.4	1242	1090	1	1	1
OTU_1292	Bacteria	1	Actinobacteria	0.9906	Actinobacteria	0.9828	Corynebacteriales	0.6051	Nocardiaceae	0.5242	Rhodococcus	0.3483	Rhodococcus_corynebacterioides	0.0541	d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Corynebacteriales,f:Nocardiaceae,g:Rhodococcus,s:Rhodococcus_corynebacterioides	DSM_20151	no	96.4	1379	2834	4	3	2
OTU_1293	Bacteria	0.5732	Firmicutes	0.4293	Clostridia	0.0489	Clostridiales	0.0288	Clostridiales_Family_XVI_Incertae_Sedis	0.0045	Carboxydocella	6e-4	Carboxydocella_manganica	0	NA	NA	NA	NA	NA	4345	1	1	1
OTU_1294	Bacteria	1	Proteobacteria	0.9978	Alphaproteobacteria	0.9953	Sphingomonadales	0.9891	Sphingomonadaceae	0.9774	Sphingobium	0.9663	Sphingobium_lucknowense	0.3055	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium_scionense	WP01_16S	no	95.3	1337	472	6	1	1
OTU_1295	Bacteria	1	Proteobacteria	0.9743	Alphaproteobacteria	0.949	Sphingomonadales	0.8933	Sphingomonadaceae	0.7151	Sphingomonas	0.5302	Sphingomonas_yunnanensis	0.0441	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sandaracinobacter,s:Sandaracinobacter_sibiricus	RB16-17_16S	no	92.6	1399	1695	5	1	1
OTU_1296	Bacteria	0.5064	Firmicutes	0.3295	Bacilli	0.0448	Bacillales	0.0249	Paenibacillaceae	0.0026	Cohnella	5e-4	Cohnella_boryungensis	0	NA	NA	NA	NA	NA	4369	1	1	1
OTU_1297	Bacteria	0.9962	Proteobacteria	0.8285	Deltaproteobacteria	0.0982	Myxococcales	0.0678	Myxococcaceae	0.021	Aggregicoccus	0.002	Aggregicoccus_edonensis	0	NA	NA	NA	NA	NA	5966	1	1	1
OTU_1298	Bacteria	0.3728	Proteobacteria	0.1964	Betaproteobacteria	0.0274	Burkholderiales	0.015	Oxalobacteraceae	0.0015	Massilia	3e-4	Massilia_namucuonensis	0	NA	NA	NA	NA	NA	5610	1	1	1
OTU_1299	Bacteria	1	Firmicutes	0.9977	Clostridia	0.9933	Clostridiales	0.9907	Lachnospiraceae	0.9842	unsure_Terrabacteria_group	0.9796	Eubacterium_rectale	0.9621	NA	NA	NA	NA	NA	3878	1	1	1
OTU_13	Bacteria	1	Proteobacteria	0.9981	Betaproteobacteria	0.9973	Burkholderiales	0.9891	Comamonadaceae	0.9751	Delftia	0.9796	Delftia_acidovorans	0.5993	d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Delftia,s:Delftia_acidovorans	LMG_1226	no	99.8	1319	715	5	5	1
OTU_130	Bacteria	1	Proteobacteria	0.96	Alphaproteobacteria	0.922	Sphingomonadales	0.7322	Sphingomonadaceae	0.6006	Sphingomonas	0.2271	Sphingomonas_wittichii	0.0141	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium_scionense	WP01_16S	no	92.8	1337	1266	2	2	1
